file,title,category,subtitle,price,description,product_url,source_image_url,bytes
photos/01_grandburger_kurinyj__grandburger-kurinyj.webp,Грандбургер (куриный),Фаст-фуд,330 г (820 ккал),180 ₽,"Состав: булочка, 2 куриные котлеты, сыр, салат, маринованный огурец, соус Пищевая ценность на порцию: Б42 / Ж45 / У58",https://sushi-crazy.myctlg.ru/product/grandburger-kurinyj,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/09d786db-e8e7-457d-a323-491b2e464a84/raw/01-8b922fe6fa3a.webp,165652
photos/02_grandburger_govyazhij__grandburger-govyazhij.webp,Грандбургер (говяжий),Фаст-фуд,330 г (900 ккал),190 ₽,"Состав: булочка, 2 говяжьи котлеты, сыр, салат, маринованный огурец, соус Пищевая ценность на порцию: Б45 / Ж55 / У58",https://sushi-crazy.myctlg.ru/product/grandburger-govyazhij,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/ceee929a-3e86-41d0-860d-ecbdbfad5d8d/raw/01-575ad5ce0f99.webp,182886
photos/03_roller__roller.webp,Роллер,Фаст-фуд,250 г (610 ккал),200 ₽,"Состав: лепёшка, мясная начинка, сыр, соус, овощи Пищевая ценность на порцию: Б25 / Ж28 / У65",https://sushi-crazy.myctlg.ru/product/roller,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/b79df8f8-44d0-44ce-ae6f-d990ed9e9a3b/raw/01-729e5082e6db.webp,218932
photos/04_hot_dog__hot-dog.webp,Хот-дог,Фаст-фуд,180 г (420 ккал),140 ₽,"Состав: булочка, сосиска, горчица, кетчуп, салат Пищевая ценность на порцию: Б14 / Ж22 / У42",https://sushi-crazy.myctlg.ru/product/hot-dog,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/7013ff63-d41e-4486-9363-46812fdf9cf8/raw/01-30dcf7a3bbe0.webp,185756
photos/05_giro_na_tarelke__giro-na-tarelke.webp,Гиро на тарелке,"Фаст-фуд, Популярное",450 г (980 ккал),350 ₽,"Состав: курица (гиро), картофель фри, пита, помидор, огурец, лук, соус (чесночный/дзадзики) Пищевая ценность на порцию: Б38 / Ж45 / У105",https://sushi-crazy.myctlg.ru/product/giro-na-tarelke,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/adfc3a88-9588-409e-8d79-7d711e26b260/raw/01-152425bb997a.webp,242226
photos/06_gamburger_kurinyj__gamburger-kurinyj.webp,Гамбургер (куриный),Фаст-фуд,170 г (410 ккал),125 ₽,"Состав: булочка, куриная котлета, маринованный огурец, кетчуп, горчица Пищевая ценность на порцию: Б18 / Ж18 / У44",https://sushi-crazy.myctlg.ru/product/gamburger-kurinyj,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/b4775eb2-d49f-4a52-8c2b-0e33c20cc2be/raw/01-cff8e7eb542d.webp,159142
photos/07_gamburger_govyazhij__gamburger-govyazhij.webp,Гамбургер (говяжий),Фаст-фуд,170 г (470 ккал),135 ₽,"Состав: булочка, говяжья котлета, маринованный огурец, кетчуп, горчица Пищевая ценность на порцию: Б20 / Ж25 / У44",https://sushi-crazy.myctlg.ru/product/gamburger-govyazhij,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/77a3f64b-013c-4ac6-9e2a-3133dce45aeb/raw/01-7d9f139e429e.webp,153846
photos/08_chizburger_kurinyj__chizburger-kurinyj.webp,Чизбургер (куриный),Фаст-фуд,190 г (470 ккал),135 ₽,"Состав: булочка, куриная котлета, сыр, салат, помидор, соус Пищевая ценность на порцию: Б22 / Ж22 / У46",https://sushi-crazy.myctlg.ru/product/chizburger-kurinyj,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/778fa89b-d4b6-47f5-99c1-fc6ac3c62c86/raw/01-c8ba79d942ff.webp,200760
photos/09_chizburger_govyazhij__chizburger-govyazhij.webp,Чизбургер (говяжий),"Фаст-фуд, Популярное",190 г (540 ккал),145 ₽,"Состав: булочка, говяжья котлета, сыр, салат, помидор, соус Пищевая ценность на порцию: Б24 / Ж30 / У46",https://sushi-crazy.myctlg.ru/product/chizburger-govyazhij,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/50978a06-f564-4ba6-87d6-d3a5a7dd0d6f/raw/01-c68e2baea757.webp,197862
photos/10_kranch__kranch.webp,Кранч,Фаст-фуд,260 г (680 ккал),220 ₽,"Состав: лепёшка, курица (кусочки), сыр, помидор, салат, соус Пищевая ценность на порцию: Б30 / Ж30 / У70",https://sushi-crazy.myctlg.ru/product/kranch,https://s3.twcstorage.ru/myctlg/catalogs/6305074e-52fe-4079-bb47-8fabcea6a275/products/5961beec-ad94-411c-afe5-2c63c92aaab3/raw/01-5b8d55497891.webp,211706
